Number,Vial,Site,Field,Plot,Treatment,Sorter,Counter,Arachnida,Nabis,Geocoris,Anthocoridae,Coccinellidae,Ichneumonidae,Lygus,Acyrthosiphon,Aphis,Therioaphis,Thysanoptera,Other
58,FALF3P2 full,Fallon,3,2,Full,Sami,Sami,1,0,0,0,0,1,0,11,7,0,0,7
59,FALF1P3 sham,Fallon,1,3,Sham,Sami,Sami,2,0,0,8,0,3,5,110,0,1,0,9
60,FALF3P2 sham,Fallon,3,2,Sham,Sami,Sami,2,0,0,3,0,1,3,34,1,4,0,6
61,FALF1P3 cont,Fallon,1,3,Control,Sami,Sami,1,0,0,5,0,5,0,167,7,5,34,15
62,FALF3P3 full,Fallon,3,3,Full,Sami,Sami,1,0,0,1,0,0,2,42,5,0,0,5
63,FALF1P2 sham,Fallon,1,2,Sham,Sami,Sami,3,1,0,2,0,3,2,90,0,0,0,9
64,FALF1P1 cont,Fallon,1,1,Control,Sami,Sami,1,2,0,8,0,2,2,102,0,0,43,23
65,FALF1P2 cont,Fallon,1,2,Control,Sami,Sami,2,0,0,7,1,4,0,139,0,3,3,21
66,FALF1P1 sham,Fallon,1,1,Sham,Sami,Sami,3,1,0,3,0,4,0,96,8,1,20,24
67,FALF1P1 full,Fallon,1,1,Full,Sami,Sami,0,1,0,1,0,0,0,90,3,0,1,8
68,FALF4P2 sham,Fallon,4,2,Sham,Sami,Sami,2,0,0,1,0,2,1,108,0,8,9,60
69,FALF1P2 full,Fallon,1,2,Full,Sami,Sami,0,1,0,0,0,3,2,58,0,0,0,2
70,L3P3 cont,Lovelock,3,3,Control,Sami,Sami,0,0,2,2,3,2,0,18,1,0,0,8
71,FALF1P3,Fallon,1,3,Pre-,Sami,Sami,0,3,0,14,1,6,4,45,0,0,1,14
72,FALF4P3,Fallon,4,3,Pre-,Sami,Sami,1,0,0,2,0,1,1,73,0,4,5,17
73,FALF4P2,Fallon,4,2,Pre-,Sami,Sami,2,1,0,4,0,4,1,72,0,5,12,42
74,FALF4P1,Fallon,4,1,Pre-,Sami,Sami,1,0,0,1,0,3,1,45,0,6,0,24
75,FALF1P2,Fallon,1,2,Pre-,Sami,Sami,2,0,0,9,0,9,3,47,0,3,1,12
76,YF1P1 cont,Yerington,1,1,Control,Sami,Sami,0,3,0,2,0,3,0,57,4,73,8,296
77,FALF1P1,Fallon,1,1,Pre-,Sami,Sami,5,2,0,11,0,4,3,63,0,3,15,44
78,FALF3P1,Fallon,3,1,Pre-,Sami,Sami,0,0,0,8,0,1,1,9,6,2,0,12
79,FALF3P2,Fallon,3,2,Pre-,Sami,Sami,0,0,0,0,0,0,0,0,0,1,1,3
80,FALF3P3,Fallon,3,3,Pre-,Sami,Sami,0,0,0,4,1,1,0,9,3,0,0,6
81,L1P3 cont,Lovelock,1,3,Control,Sami,Sami,6,0,0,2,0,18,1,385,95,26,23,11
82,L3P1 full,Lovelock,3,1,Full,Sami,Sami,1,0,0,6,3,4,0,301,963,293,165,19
83,L2P3 full,Lovelock,2,3,Full,Sami,Sami,0,0,0,1,1,0,2,176,9430,398,142,9
84,YF3P2 cont,Yerington,3,2,Control,Sami,Sami,0,0,0,9,0,23,1,1225,99,247,253,465
85,L2P2 sham,Lovelock,2,2,Sham,Sami,Sami,0,0,0,1,1,3,1,1988,1809,676,252,98
86,L2P2 cont,Lovelock,2,2,Control,Anson,Sami,2,0,1,0,0,12,0,701,419,346,124,64
87,L1P3 sham,Lovelock,1,3,Sham,Anson,Sami,4,0,0,1,0,33,4,2061,76,19,37,17
88,L2P3 cont,Lovelock,2,3,Control,Sami,Sami,1,0,0,1,0,6,0,2154,2570,1298,30,63
89,L2P3 sham,Lovelock,2,3,Sham,Sami,Sami,0,1,0,3,0,8,0,2488,2432,909,71,86
90,L2P2 full,Lovelock,2,2,Full,Sami,Sami,0,0,0,0,0,1,0,492,8934,917,77,30
91,YF1P1,Yerington,1,1,Pre-,Anson,Sami,0,0,1,5,0,2,1,39,1,200,7,363
92,YF1P2,Yerington,1,2,Pre-,Anson,Sami,0,0,0,2,0,4,7,13,0,135,5,202
93,YF1P3,Yerington,1,3,Pre-,Anson,Sami,0,1,3,5,0,6,3,26,0,170,6,219
94,YF3P3,Yerington,3,3,Pre-,Anson,Sami,0,1,1,4,0,48,0,192,3,139,29,46
95,YF3P1,Yerington,3,1,Pre-,Anson,Sami,0,0,1,3,0,12,7,96,0,118,8,59
96,YF2P1,Yerington,2,1,Pre-,Sami,Sami,3,0,2,6,2,4,2,18,1,8,0,36
97,YF2P2,Yerington,2,2,Pre-,Sami,Sami,0,0,2,3,0,40,6,44,0,58,2,65
98,YF2P3,Yerington,2,3,Pre-,Sami,Sami,1,1,3,10,1,24,8,53,0,84,3,106
99,YF3P2,Yerington,3,2,Pre-,Sami,Sami,2,0,2,9,0,45,1,134,0,134,116,193
100,LF1P1,Lovelock,1,1,Pre-,Sami,Sami,2,0,1,4,1,3,3,183,27,12,1,8
101,LF1P2,Lovelock,1,2,Pre-,Sami,Sami,1,0,0,3,1,3,2,33,8,6,1,6
102,LF1P3,Lovelock,1,3,Pre-,Sami,Sami,1,0,0,3,1,1,0,231,7,4,0,9
103,LF2P1,Lovelock,2,1,Pre-,Sami,Sami,0,0,0,0,1,0,0,41,22,34,0,9
104,LF2P2,Lovelock,2,2,Pre-,Sami,Sami,0,0,0,0,2,0,0,121,16,62,0,12
105,LF2P3,Lovelock,2,3,Pre-,Sami,Sami,0,0,0,2,0,7,0,321,95,67,0,8
106,LF3P1,Lovelock,3,1,Pre-,Sami,Sami,1,0,3,7,3,4,0,29,7,134,1,20
107,LF3P2,Lovelock,3,2,Pre-,Sami,Sami,0,0,0,5,1,2,0,5,4,25,1,9
108,LF3P3,Lovelock,3,3,Pre-,Sami,Sami,0,0,2,2,0,1,0,3,1,50,0,3
